zanr,statistikaZanra
,62
Vampire,1
 Shounen Ai,65
School,50
Mecha,118
 Sci-Fi,1986
 Josei,51
 Police,196
 Seinen,536
 Demons,209
Comedy,3193
Romance,93
Seinen,11
 Kids,1213
Ecchi,65
Drama,991
Thriller,1
Sci-Fi,84
 Yaoi,36
 Adventure,891
 Mecha,826
Police,1
 Fantasy,1815
 Thriller,86
 Martial Arts,260
Shounen,49
 Historical,636
Fantasy,494
Super Power,1
 Samurai,146
Historical,170
 Shounen,1663
Martial Arts,5
 Harem,275
 Romance,1371
 Magic,716
 Military,405
Horror,74
 Supernatural,1023
 Vampire,101
 Sports,499
Hentai,947
 Shoujo,590
Action,2845
 Parody,393
Harem,42
Dementia,206
 Mystery,421
Magic,62
 Slice of Life,1117
Military,21
 Music,457
Cars,35
Yaoi,3
 Drama,1025
 Cars,37
 Horror,295
 Game,144
Kids,396
Parody,15
Demons,85
 Comedy,1452
Adventure,1457
Music,403
 Dementia,34
Samurai,2
Space,1
 Super Power,464
 Ecchi,572
Psychological,23
 Space,380
Supernatural,14
Josei,3
Shoujo,13
Sports,44
Slice of Life,103
 Yuri,42
 Hentai,194
 Shoujo Ai,55
 Psychological,206
Game,37
Mystery,74
 School,1170
